dataset,dataset_key,num_samples,num_classes,default_prompt,accuracy,macro_f1,balanced_accuracy,ece,top_5_accuracy,mrr,pss,best_prompt_accuracy,best_prompt
ESC-50,esc50,2000,50,This is a sound of {label}.,0.915,0.9119768868538094,0.915,0.8833388024568558,0.9935,0.949939566887361,0.004433220730304884,0.9265,A recording of {label}.
UrbanSound8K,urbansound8k,8732,10,This is a sound of {label}.,0.7747366010077874,0.7785663255594445,0.7904581203321468,0.638205769551603,0.9611772789738892,0.8582208570556028,0.01525714353276476,0.8105817682088868,I can hear {label}.
GTZAN,gtzan,999,10,This audio is a {label} song.,0.6086086086086087,0.5878396519937276,0.6089494949494949,0.48572110152757686,0.9569569569569569,0.7529025056802835,0.045882922828073824,0.6646646646646647,I can hear a {label} song.
Free Spoken Digit Dataset,fsdd,3000,10,A person saying {label}.,0.10533333333333333,0.06286061441451563,0.10533333333333335,0.0002859285672505707,0.5676666666666667,0.31334510582010583,0.12611191469675812,0.10566666666666667,Someone says the word {label}.
