dataset,worst_prompt_acc,best_prompt_acc,mean_individual_acc,ensemble_acc,delta_vs_best,weighted_ensemble_acc,wdelta_vs_best,delta_vs_worst,ensemble_macro_f1,weighted_macro_f1,ensemble_top5,weighted_top5,ensemble_mrr,weighted_mrr
ESC-50,0.915,0.9265,0.9207000000000001,0.927,0.000500000000000056,0.927,0.000500000000000056,0.01200000000000001,0.925226555920378,0.925226555920378,0.9965,0.9965,0.9575704545454545,0.9575704545454545
UrbanSound8K,0.7747366010077874,0.8105817682088868,0.7949839670178653,0.798900595510765,-0.011681172698121856,0.798900595510765,-0.011681172698121856,0.02416399450297757,0.8008037445232379,0.8008037445232379,0.9644983967017865,0.9644983967017865,0.8728603149153996,0.8728603149153996
GTZAN,0.5965965965965966,0.6646646646646647,0.6278278278278279,0.6536536536536537,-0.011011011011010985,0.6536536536536537,-0.011011011011010985,0.0570570570570571,0.6413791348027263,0.6413791348027263,0.965965965965966,0.965965965965966,0.7844801150356706,0.7844801150356706
Free Spoken Digit Dataset,0.074,0.10566666666666667,0.09353333333333333,0.07566666666666666,-0.030000000000000013,0.07566666666666666,-0.030000000000000013,0.0016666666666666635,0.03729419089464038,0.03729419089464038,0.5263333333333333,0.5263333333333333,0.28010132275132277,0.2801092592592593
